Region1,Region2,Median_Correlation
1,1,Inf
1,2,0.850384340342579
1,3,1.1672234357467
1,4,0.85448073773948
1,5,0.963327900359472
1,6,0.894748421977774
1,7,0.910997646144365
1,8,1.01099848604961
1,9,0.586363037582271
1,10,0.901142241250028
1,11,0.718569619498665
1,12,0.816376564307317
1,13,0.489453267446122
1,14,0.330804866097962
1,15,0.373128711053432
1,16,0.405434554656522
1,17,0.401419296152167
1,18,0.34827020948004
1,19,0.460237756037898
1,20,0.359144386300782
1,21,0.407260896988234
1,22,0.519503059699276
1,23,0.370564232774492
1,24,0.488457070388376
1,25,0.434042779455455
1,26,0.483572288519589
1,27,0.374285395944511
1,28,0.51855263794782
1,29,0.939781899238587
1,30,1.1346396172316
1,31,0.857121388266728
1,32,0.665211510213734
1,33,0.616081522000629
1,34,0.505055171274155
1,35,0.406093008515509
1,36,0.45154161960836
1,37,0.349784168072278
1,38,0.40010511090407
1,39,0.459982384489723
1,40,0.442597655115251
1,41,0.341554043235059
1,42,0.266769191011449
1,43,0.349319520127324
1,44,0.507683656977087
1,45,0.407804133950812
1,46,0.45321844675513
1,47,0.443804158647214
1,48,0.32423544318359
1,49,0.263889572722463
1,50,0.274396497344948
1,51,0.320795976715094
1,52,0.272850010457332
1,53,0.275350469266813
1,54,0.378652574752862
1,55,0.272980688755821
1,56,0.205752674446818
1,57,0.778900845368804
1,58,0.490083955387958
1,59,0.447434774276103
1,60,0.491349576242981
1,61,0.3729366463199
1,62,0.358336077883361
1,63,0.455012485588134
1,64,0.329155581429933
1,65,0.409368028197172
1,66,0.243907168990745
1,67,0.392297596136486
1,68,0.375883475524696
1,69,0.306164819484433
1,70,0.510672099092772
1,71,0.350541679116722
1,72,0.651376780698307
1,73,0.618940821449466
1,74,0.428486520360461
1,75,0.382235989422238
1,76,0.290187192651803
1,77,0.523329845696233
1,78,0.364247581610393
1,79,0.476108943507327
1,80,0.121677373581874
1,81,0.440086582515617
1,82,0.18296561729242
1,83,0.33010618117115
1,84,0.324860065114558
1,85,0.445282964131391
1,86,0.469149942618881
1,87,0.400758278275998
1,88,0.269102765837677
1,89,0.244216278538651
1,90,0.284531148971297
1,91,0.331336666142288
1,92,0.409391148384791
1,93,0.47215313393005
1,94,0.534388406471507
1,95,0.380239813237993
1,96,0.561963252909012
1,97,0.668889115236142
1,98,0.52153910130649
1,99,0.572508969349225
1,100,0.621276676926878
1,101,1.20510006289383
1,102,0.890713649710195
1,103,0.966884692353106
1,104,0.754078478155978
1,105,0.806859266409726
1,106,0.792563596824422
1,107,0.958197636934327
1,108,0.661788791772704
1,109,0.8843739750874
1,110,0.649773350552683
1,111,0.708642534667079
1,112,0.617868641282241
1,113,0.351634420299406
1,114,0.379194754121904
1,115,0.481006306765739
1,116,0.337415327198698
1,117,0.383668959283996
1,118,0.363974813358778
1,119,0.389072248776189
1,120,0.345549053761039
1,121,0.425766295578736
1,122,0.443057440392614
1,123,0.351709549014452
1,124,0.437971711804352
1,125,0.364864503891247
1,126,0.301520152058883
1,127,0.374958741391975
1,128,0.324134288100876
1,129,0.377869215215122
1,130,0.277300423211379
1,131,0.861229553463035
1,132,0.632824479387698
1,133,0.702816870455207
1,134,0.584179485967207
1,135,0.510219939574402
1,136,0.545555912235174
1,137,0.303177196465468
1,138,0.431538246105185
1,139,0.509143952629672
1,140,0.417641139799888
1,141,0.47602326106645
1,142,0.353171496325373
1,143,0.325512245808348
1,144,0.242896331159744
1,145,0.344956827976781
1,146,0.278423904715109
1,147,0.428078556487302
1,148,0.420166242375487
1,149,0.520980007209433
1,150,0.43557317093372
1,151,0.307009214722098
1,152,0.388566345057546
1,153,0.342732255239945
1,154,0.247512225447327
1,155,0.22842778865389
1,156,0.283076584973964
1,157,0.249402172232215
1,158,0.400010222751659
1,159,0.275213892674853
1,160,0.379753649065708
1,161,0.261681109712775
1,162,0.353436383877488
1,163,0.306586209748204
1,164,0.624008238713526
1,165,0.453079994402581
1,166,0.42650227414004
1,167,0.376043719746833
1,168,0.283991463210022
1,169,0.351057530639846
1,170,0.305324181852345
1,171,0.305209264052325
1,172,0.413427868493955
1,173,0.27257342594871
1,174,0.335594780646201
1,175,0.305206854038297
1,176,0.374173650535641
1,177,0.528332509284593
1,178,0.435060505478168
1,179,0.379517502042504
1,180,0.297527501604846
1,181,0.668599445974883
1,182,0.549028059652473
1,183,0.41238438004913
1,184,0.396668069432454
1,185,0.316804106962786
1,186,0.510264152238417
1,187,0.0573717304867448
1,188,0.137814156154624
1,189,0.363788188747386
1,190,0.412052879201623
1,191,0.301203883482928
1,192,0.365655458874686
1,193,0.388100259919266
1,194,0.532770016604759
1,195,0.646572893125601
1,196,0.55430229564431
1,197,0.400204074422781
1,198,0.473836185101931
1,199,0.481913405020331
1,200,0.375817434365087
2,1,0.850384340342579
2,2,Inf
2,3,0.936893731085354
2,4,0.904187550955297
2,5,0.775496313711115
2,6,0.587769779958039
2,7,0.464214058995035
2,8,0.487235043841687
2,9,0.353278215734767
2,10,0.466958762327879
2,11,0.406494731377949
2,12,0.555273311364132
2,13,0.259193919217173
2,14,0.122363956281148
2,15,0.206332853411167
2,16,0.219810884218389
2,17,0.242562727875235
2,18,0.131932279945017
2,19,0.320543663119797
2,20,0.234887416052154
2,21,0.210453830326435
2,22,0.321367963883082
2,23,0.219823540306954
