Region1,Region2,Fisher_Correlation
1,1,Inf
1,2,1.19326880760423
1,3,1.49086260312044
1,4,1.10919549724724
1,5,0.872216843846821
1,6,0.807401640375168
1,7,-0.0864256591604395
1,8,0.0772797441971899
1,9,-0.115644944443176
1,10,0.155353202766868
1,11,0.106814898680738
1,12,0.813493555183654
1,13,-0.257654815951737
1,14,-0.132076736790147
1,15,-0.063800040013018
1,16,-0.147623811473017
1,17,-0.0154514549735145
1,18,-0.28790739871067
1,19,-0.109976583877234
1,20,-0.172496717570109
1,21,-0.2296015007785
1,22,-0.106213311998784
1,23,-0.25320844377304
1,24,-0.124395828071009
1,25,-0.0296778979342219
1,26,-0.246331078804238
1,27,0.138782489671174
1,28,-0.0750455200140364
1,29,0.573319665656589
1,30,1.26564992250684
1,31,0.848384031139424
1,32,0.593504603921925
1,33,0.624299649724205
1,34,0.258802359137753
1,35,0.352311170281289
1,36,0.0822589165473719
1,37,0.00282322234345434
1,38,0.232579149295384
1,39,-0.0720835161097266
1,40,0.271223887031384
1,41,-0.316316923742265
1,42,-0.407455100157212
1,43,-0.139412485760492
1,44,-0.144904218219588
1,45,-0.273940078704621
1,46,-0.13605378427336
1,47,0.551376556041254
1,48,-0.257096534755136
1,49,-0.461454763155357
1,50,-0.12638314753917
1,51,0.628657390080401
1,52,0.230040468026124
1,53,0.550660812513085
1,54,0.185199908142088
1,55,0.561203290178098
1,56,-0.0416568531518552
1,57,0.670699940025182
1,58,0.67569949431461
1,59,0.645130067427639
1,60,0.372836967809878
1,61,-0.0766198554268033
1,62,-0.133833167440191
1,63,-0.326760272298106
1,64,-0.173515810049302
1,65,-0.146957089317819
1,66,-0.382794295988308
1,67,0.0621397653719119
1,68,0.584125241902397
1,69,-0.0228915193918101
1,70,0.579914068382886
1,71,0.100967840111244
1,72,0.591268833028704
1,73,0.560595964695241
1,74,-0.240025149203191
1,75,0.534103470083297
1,76,-0.0706511157299779
1,77,0.0917910320962722
1,78,-0.162539446242083
1,79,0.406156560594114
1,80,-0.00554778351980611
1,81,0.689562802389876
1,82,0.185285523220004
1,83,0.632527405612278
