Region1,Region2,Fisher_Correlation
1,1,Inf
1,2,0.549159883013437
1,3,0.686723959034197
1,4,1.10484677668269
1,5,1.16135642693291
1,6,1.22519678916015
1,7,1.19169701866643
1,8,1.73016052616327
1,9,1.04306474301493
1,10,0.872781102287609
1,11,0.638249588295794
1,12,1.07204078447074
1,13,0.33902201798511
1,14,0.440144880180092
1,15,0.282446132049996
1,16,0.0590456373824422
1,17,-0.057714696885483
1,18,-0.225146378926546
1,19,0.346197331579897
1,20,-0.174065999419641
1,21,0.231175512201214
1,22,0.529323095870735
1,23,0.371683538705792
1,24,0.239793724383539
1,25,0.519273479589374
1,26,0.604569885434446
1,27,-0.0721586100359482
1,28,0.0844841035632983
1,29,0.889891492921862
1,30,0.978990167918933
1,31,0.761895732947505
1,32,0.345188737928392
1,33,0.589126864777655
1,34,0.00671145508439482
1,35,0.356303995670645
1,36,0.119701027287898
1,37,-0.0659370645734779
1,38,0.419257332710508
1,39,-0.195322699499471
1,40,0.415391348426987
1,41,0.253770708528128
1,42,-0.0225324636164464
1,43,0.0683310428907653
1,44,0.298590626187943
1,45,0.352464277715035
1,46,0.403969970530557
1,47,0.414881080233396
1,48,-0.160310437407396
1,49,-0.0866461763774846
1,50,0.156144645734084
1,51,1.01208367641815
1,52,0.806420733325222
1,53,0.492676039278236
1,54,-0.127129999710394
1,55,0.982701982531717
1,56,0.541768375815052
1,57,0.570136276350706
1,58,-0.237149563638142
1,59,-0.0323096255407328
1,60,-0.0881787127287736
1,61,0.193238234804484
1,62,-0.35236605652301
1,63,0.0510664826492724
1,64,-0.172974583960528
1,65,0.18892808504702
1,66,-0.220613527007477
1,67,-0.014984593172622
1,68,-0.207980418375992
1,69,0.206735409337285
1,70,0.334067702915855
1,71,-0.34438115650266
1,72,0.816138389986016
1,73,0.559908430019981
1,74,0.26507565717858
1,75,0.267886522064682
1,76,0.147667716179082
1,77,0.612940468568815
1,78,0.238019046835859
1,79,0.280803111807975
1,80,0.999472045893562
1,81,-0.201161779143656
1,82,0.327270130097158
1,83,1.04010650128933
1,84,-0.187927221696293
1,85,0.168349058703706
1,86,0.341297916227519
1,87,0.469920652391824
1,88,-0.154815869325616
1,89,0.279276787216598
1,90,0.293598662220525
1,91,0.158749692690602
1,92,0.557446533611213
1,93,0.676064572614903
1,94,0.343980009588306
1,95,0.170859909526473
1,96,0.976161981803856
1,97,1.08749218491803
1,98,0.769091884986312
1,99,0.63920621864437
1,100,0.585086449644903
1,101,1.723239783743
1,102,1.13850712493873
1,103,0.85807288992185
1,104,1.29551837657129
1,105,1.07487028974779
1,106,1.33616692651717
1,107,1.52096898877945
1,108,1.12972054823479
1,109,0.967153077090002
