Region1,Region2,Fisher_Correlation
1,1,Inf
1,2,1.1798111848189
1,3,2.03823763257488
1,4,0.796462849464079
1,5,1.0079559058713
1,6,0.985005467350581
1,7,1.32687589260066
1,8,0.973903229525298
1,9,0.390350634613704
1,10,0.903811905938983
1,11,0.663470564021417
1,12,0.88465783448612
1,13,0.582944530484926
1,14,0.867915225750126
1,15,0.535383407739447
1,16,0.300243753709967
1,17,0.375511248207695
1,18,0.13866123264645
1,19,0.301038068587604
1,20,0.134270082007143
1,21,0.336222767562094
1,22,0.425349385455761
1,23,0.244952133800243
1,24,0.590472872753774
1,25,0.386043154116449
1,26,0.298032489435361
1,27,0.531782570644541
1,28,0.591947027826559
1,29,1.14616533812058
1,30,1.67552946486715
1,31,0.765489697138023
1,32,0.630459323103157
1,33,0.65532449553098
1,34,0.457173706950322
1,35,0.604372020531136
1,36,0.570838429208513
1,37,0.63240615555321
1,38,0.365831346076683
1,39,0.30950576313429
1,40,0.783707384759576
1,41,0.200626984337681
1,42,0.265204073413623
1,43,0.461499225648173
1,44,0.51873412194519
1,45,0.656006297156611
1,46,0.321735957529945
1,47,0.502278700613942
1,48,0.414085511575756
1,49,0.105812541184654
1,50,0.205912080183174
1,51,0.13978677955321
1,52,0.0925562264913208
1,53,0.337238472710837
1,54,0.126548249995138
1,55,0.0641561023698192
1,56,0.0298038266616425
1,57,1.05992704007462
1,58,0.528838591864756
1,59,0.453198504303604
1,60,0.372195557630157
1,61,0.188995907169011
1,62,0.489342664822073
1,63,0.451396607470371
1,64,0.331779942720056
1,65,0.356762852359046
1,66,0.0231306159991358
1,67,0.791817778983357
1,68,0.423871187724787
1,69,0.428826828214
1,70,0.730760411103069
1,71,0.699687264146443
1,72,0.612774134029608
1,73,0.564579873297418
1,74,0.0577858335645553
1,75,0.544728902525304
1,76,0.328071393126721
1,77,0.787450176677551
1,78,0.234206393017098
1,79,0.385651503274934
1,80,0.0430445502620336
1,81,0.585177060605708
1,82,0.0965836988261926
1,83,0.142223356948686
1,84,0.252501251216014
1,85,0.285119923557437
1,86,0.284563202211108
1,87,0.238195394433067
1,88,0.43575463904237
1,89,0.353127384220334
1,90,0.391230814838644
1,91,0.265386798482969
1,92,0.137101818558733
1,93,0.72707859205113
1,94,0.40194704047116
1,95,0.379958544687602
1,96,0.501837347226164
1,97,0.752369583809311
1,98,0.501605914976876
1,99,0.477140522046964
1,100,0.369020861042714
1,101,1.68300326214735
1,102,1.54700088220196
1,103,1.72975703352617
1,104,1.54661341482183
1,105,1.43575708634264
1,106,0.800862171308888
1,107,1.31476991874272
1,108,0.534143734173524
1,109,1.1658488082271
1,110,0.95187728541128
1,111,0.758599875575208
1,112,0.480419044839795
1,113,0.296188733974778
1,114,0.265069141641636
1,115,0.300740489563784
1,116,0.200660190838204
1,117,0.244779711156015
1,118,0.228885920382034
1,119,0.171643574069772
1,120,-0.0172569087760355
1,121,0.298390816541144
1,122,0.252607745442098
1,123,0.0431298859626247
1,124,0.449779025239427
1,125,0.55263243077319
1,126,0.266902377938763
1,127,0.357414155087369
1,128,0.50704710665355
1,129,0.638083252491845
1,130,0.386168268844684
1,131,1.06556551375978
1,132,0.778108815906068
1,133,0.741944218580422
1,134,0.510724247175151
1,135,0.246477018594414
1,136,0.441895978768653
1,137,0.283225516107143
1,138,0.16201632112952
1,139,0.379698503245733
1,140,0.260942550088641
1,141,0.0300379448023001
1,142,0.375582568559815
1,143,0.254948324668339
1,144,0.080256554684946
1,145,0.258701507808137
1,146,0.28194838430197
1,147,0.522128143044839
1,148,0.158102352967518
1,149,0.0539837613431843
1,150,0.336310475464497
1,151,0.310149868311104
1,152,0.62367708898365
1,153,0.471024911947197
1,154,0.390265333277921
1,155,0.33672754506902
1,156,0.186589879539992
1,157,0.316013280584581
1,158,0.303548287233262
1,159,0.0753631963951225
1,160,0.498236936497203
1,161,-0.0322896365419913
1,162,0.444778580542635
1,163,0.459271014381093
1,164,0.487518974060152
1,165,0.386127795222582
1,166,0.172777315003658
1,167,0.0750777741690895
1,168,0.237398797435357
1,169,0.23158450906068
1,170,0.036930596487006
1,171,0.215686924731545
1,172,0.141058796173917
1,173,0.289027286240196
1,174,0.14732820929929
1,175,0.206673625010442
1,176,0.185220537862627
1,177,0.653992091812333
1,178,0.593013673103168
1,179,0.326624571567649
1,180,0.148842396453023
1,181,0.474196935340354
1,182,0.3919058304848
1,183,0.0522873831230108
1,184,0.378504177510523
1,185,0.257353300643427
1,186,0.545187068626036
1,187,0.0566829137998161
1,188,-0.0314271921578482
1,189,0.57377634647902
1,190,0.311871972891453
1,191,0.111369555751967
1,192,0.429847484878623
1,193,0.494872317751915
1,194,0.795083556307999
1,195,0.831637545185927
1,196,0.67150346493226
1,197,0.171343608061067
1,198,0.670210192749693
1,199,0.585996520833442
1,200,0.332412223179874
2,1,1.1798111848189
2,2,Inf
2,3,1.19135532556921
2,4,0.612513230566739
2,5,0.70709085273965
2,6,0.648750719356836
2,7,0.736376890660985
2,8,0.656173740030304
2,9,0.352447434697482
2,10,0.529591521462291
2,11,0.394362094447264
2,12,0.557142742675817
2,13,0.547532957515072
2,14,0.729790686134356
2,15,0.531984181419788
2,16,0.360085471758607
2,17,0.479653018121639
2,18,0.267255555625675
2,19,0.342443807704565
2,20,0.242541772472768
2,21,0.374826897801535
2,22,0.406892807646551
2,23,0.249155419124214
2,24,0.550010086557788
2,25,0.309723029848667
2,26,0.314880891870713
2,27,0.457905199002907
2,28,0.491628481862005
2,29,0.76612239404926
2,30,1.27744808929176
2,31,0.537712840655488
2,32,0.425431811730939
2,33,0.441207864939904
2,34,0.436655600682016
2,35,0.522207527983147
2,36,0.555409928433698
2,37,0.705489363429193
2,38,0.44731641514191
2,39,0.400886906698582
2,40,0.603159412618882
2,41,0.30111348964708
2,42,0.329237197902319
2,43,0.43873801666506
2,44,0.493288994803876
2,45,0.523806988405625
2,46,0.37146332030888
2,47,0.473841651901026
2,48,0.518736847709156
2,49,0.182399680855398
2,50,0.303733277174401
2,51,0.192305860896602
2,52,0.238734632242255
2,53,0.319223613403037
2,54,0.234857076737003
2,55,0.0826629026439303
2,56,0.115927946731955
2,57,1.02196396976915
2,58,0.436886587720091
2,59,0.454175503421659
2,60,0.426568896833193
2,61,0.343204013837911
2,62,0.424175821068819
2,63,0.486185006580927
2,64,0.398477511340529
2,65,0.47302013873179
2,66,0.0753668324932233
2,67,0.858869859637996
2,68,0.444631967416029
2,69,0.558236658656023
2,70,0.482439767196691
2,71,0.600533821280931
2,72,0.413393533819855
2,73,0.504251837206608
2,74,0.136283164841636
2,75,0.445412941628039
2,76,0.457514725287029
2,77,0.573653588292954
2,78,0.311352613874624
2,79,0.336991051530492
2,80,0.241906105773937
2,81,0.411838155083631
2,82,0.215324151218809
2,83,0.208350660530928
2,84,0.359675155166663
2,85,0.366359005470034
2,86,0.419366577241529
2,87,0.215147162416254
2,88,0.503305477636257
2,89,0.501292800651219
2,90,0.464883827555546
2,91,0.42462851687664
2,92,0.236211331764862
2,93,0.50031745726934
2,94,0.39385974558097
2,95,0.380545986826193
2,96,0.326650410548359
2,97,0.577680797618926
2,98,0.449052703871435
2,99,0.410368987339457
2,100,0.284512273052338
2,101,0.927874801699253
2,102,1.03538959001385
2,103,1.0829660025934
2,104,1.17304202311312
2,105,0.848905720812695
2,106,0.470830834353407
2,107,0.764367946947013
2,108,0.53489141830091
2,109,0.638101121842506
2,110,0.669800153276813
2,111,0.519159532444423
2,112,0.35960940700227
2,113,0.377206998592469
2,114,0.314239226918688
2,115,0.356787178489535
2,116,0.317649307486856
2,117,0.355849022375477
2,118,0.330966380717353
2,119,0.288787404195443
2,120,0.119604301049232
2,121,0.326090416349167
2,122,0.299679675548155
2,123,0.16752871537042
2,124,0.493850342006037
2,125,0.508516970476328
2,126,0.332255161302046
2,127,0.363588335736972
2,128,0.485541452440468
2,129,0.542926883561717
2,130,0.384683516633489
2,131,1.16708247478382
2,132,0.665031960423779
2,133,0.615065865172526
2,134,0.365569380866826
2,135,0.365257299000463
2,136,0.509929076749187
2,137,0.350814727965985
2,138,0.331706177479477
2,139,0.469125442208129
2,140,0.441901549582133
2,141,0.154711053911605
2,142,0.389940739779803
2,143,0.305216417816487
2,144,0.231368382836527
2,145,0.35266356316992
2,146,0.326671966822083
2,147,0.514990954066668
2,148,0.303905188228082
2,149,0.189227653347237
2,150,0.370987452536524
2,151,0.420827260752184
2,152,0.474646846225729
2,153,0.536250268533036
2,154,0.424534633351739
2,155,0.343442805371326
2,156,0.285447459566055
2,157,0.353802872357722
2,158,0.362399060523276
2,159,0.253204019561408
2,160,0.347534913189166
2,161,0.0554380398648608
2,162,0.525812069891765
2,163,0.490331412051264
2,164,0.582072662908412
2,165,0.433713460984294
2,166,0.336926578734645
2,167,0.190877980736606
2,168,0.325501057964312
2,169,0.323315373971949
2,170,0.137900065114425
2,171,0.292918062887324
2,172,0.435321506752212
2,173,0.361196020566717
2,174,0.308489905160569
2,175,0.335385154099804
2,176,0.283391464189305
2,177,0.443862578848204
2,178,0.525075559928919
2,179,0.434054657208236
2,180,0.270949304372978
2,181,0.351399078230004
2,182,0.314797811134468
2,183,0.176281176970012
2,184,0.458304893030265
2,185,0.388157469736335
2,186,0.539488273892731
2,187,0.200973851147118
2,188,0.127318091041561
2,189,0.577300672341139
2,190,0.446829263804625
2,191,0.193510814950063
2,192,0.529385632514058
2,193,0.480352921652298
2,194,0.528491411611321
2,195,0.680321318113196
2,196,0.743161480751151
2,197,0.239206928238784
