Region1,Region2,Median_Correlation
1,1,Inf
1,2,0.745091029776813
1,3,1.11946980658535
1,4,0.777753218503126
1,5,0.925025839789298
1,6,0.899008983441889
1,7,0.856311556557549
1,8,0.994617070990831
1,9,0.530226561119049
1,10,0.897670634065435
1,11,0.688791960150013
1,12,0.807984247467546
1,13,0.290476971475719
1,14,0.25630303916008
1,15,0.261588888199132
1,16,0.321075380825232
1,17,0.378180583509565
1,18,0.207245611003219
1,19,0.429609314920697
1,20,0.351087632495396
1,21,0.382441594468149
1,22,0.438475480687822
1,23,0.362490035579661
1,24,0.369200899840867
1,25,0.478768652176041
1,26,0.431426678543028
1,27,0.322783267010121
1,28,0.329120268921307
1,29,0.842509515646151
1,30,1.15034912015175
1,31,0.796498193267625
1,32,0.616366687778519
1,33,0.638775696403973
1,34,0.608916208623937
1,35,0.339394838061488
1,36,0.334573141025579
1,37,0.421948913656899
1,38,0.463200530684084
1,39,0.324026694485805
1,40,0.331977834617896
1,41,0.315185412722214
1,42,0.267668623450099
1,43,0.32829292156405
1,44,0.475380535866479
1,45,0.349792774737778
1,46,0.370553469937072
1,47,0.374606207554521
1,48,0.254937844947833
1,49,0.199562721377944
1,50,0.201035559324143
1,51,0.343431995343708
1,52,0.224039773669392
1,53,0.26882570159836
1,54,0.33731111626942
1,55,0.255653702586702
1,56,0.252260524241734
1,57,0.7054446248727
1,58,0.417183016238344
1,59,0.369909124026722
1,60,0.450938704143719
1,61,0.273816236206731
1,62,0.320965993549142
1,63,0.294421517269795
1,64,0.211900411892649
1,65,0.291100154444957
1,66,0.0931348008953768
1,67,0.38246185233793
1,68,0.323741357152304
1,69,0.229899629640241
1,70,0.293881456089115
1,71,0.285630609867909
1,72,0.629670462935003
1,73,0.648498091462461
1,74,0.375009139765185
1,75,0.316930788115477
1,76,0.170067305447134
1,77,0.466921938951046
1,78,0.334409078765767
1,79,0.427372212722079
1,80,0.087555445574865
1,81,0.278838770588361
1,82,0.138292904855443
1,83,0.294806041993519
1,84,0.298185456723075
1,85,0.357424722366299
1,86,0.453824853008631
1,87,0.383130337408103
1,88,0.190433790948984
1,89,0.17647835308044
1,90,0.239630350634385
1,91,0.226860014015877
1,92,0.383870097528658
1,93,0.346151739177471
1,94,0.402811290790748
1,95,0.186217187856927
1,96,0.534152968468882
1,97,0.662739585264539
1,98,0.501395527775617
1,99,0.558299391794195
1,100,0.56284009626721
1,101,1.10011864788676
1,102,0.795076708866474
1,103,0.924619736960806
1,104,0.714494020235109
1,105,0.627498412499637
1,106,0.776463325407747
1,107,0.95513683691149
1,108,0.625518145590196
1,109,0.883123159424039
1,110,0.642581988543804
1,111,0.670962088114855
1,112,0.630579059623607
1,113,0.243880970973566
1,114,0.317874707982089
1,115,0.245163610341355
1,116,0.253530488975199
1,117,0.349482570990384
1,118,0.227873350015808
1,119,0.331464700773594
1,120,0.227207287574822
1,121,0.273464368331997
1,122,0.354088264749665
1,123,0.26845855206158
1,124,0.330979397168397
1,125,0.37420213994452
1,126,0.234849106804314
1,127,0.313806892834385
1,128,0.3426279913592
1,129,0.348080951790223
1,130,0.220661814165719
1,131,0.741806080426336
1,132,0.533657428983262
1,133,0.696122366455823
1,134,0.649325884254398
1,135,0.42858622220955
1,136,0.579602398211033
1,137,0.304095619991458
1,138,0.323615032190744
1,139,0.610746974337633
1,140,0.365672736372521
1,141,0.330321790245196
1,142,0.385532602986052
1,143,0.22879245238137
1,144,0.179668166656966
1,145,0.308415569752414
1,146,0.202899457591241
1,147,0.373496697516082
1,148,0.346021226878575
1,149,0.487659140873308
1,150,0.337265482863846
1,151,0.312764904325863
1,152,0.273316887620189
1,153,0.232259082819874
1,154,0.19326055568401
1,155,0.167504210906064
1,156,0.247873666593266
1,157,0.146805275447689
1,158,0.316333440941402
1,159,0.0936112457844154
1,160,0.20571971425044
1,161,0.215053104088038
1,162,0.271738361168013
1,163,0.265853620675686
1,164,0.487459375910659
1,165,0.432650994902265
1,166,0.422987599010197
1,167,0.207387198223634
1,168,0.19842688736502
1,169,0.200000591461585
1,170,0.156947780314064
1,171,0.240194156675931
1,172,0.391370336174416
1,173,0.291887332841923
1,174,0.303363371459845
1,175,0.29451588317267
1,176,0.324376290268485
1,177,0.328315218202245
1,178,0.283209706194454
1,179,0.306599642074973
1,180,0.195192869963584
1,181,0.587514803487579
1,182,0.571672370040218
1,183,0.350399944619486
1,184,0.281927174514043
1,185,0.217719054161878
1,186,0.521187197905043
1,187,0.100838251131128
1,188,0.0851870765286076
1,189,0.21741910911433
1,190,0.207290610954835
1,191,0.241828916848312
1,192,0.190269247659175
1,193,0.307604886290178
1,194,0.433754841164703
1,195,0.662217895464682
1,196,0.480224164560154
1,197,0.240169534856709
1,198,0.355923509406749
1,199,0.356433810833173
1,200,0.322694642553975
2,1,0.745091029776813
2,2,Inf
2,3,0.860912547090094
2,4,0.821321970028593
2,5,0.748537964605449
2,6,0.529176579440979
2,7,0.350606150293767
2,8,0.397967607654556
2,9,0.294116884536121
2,10,0.45420292511082
2,11,0.301940087846282
2,12,0.435116775030372
2,13,0.331597979139985
2,14,0.234993378822445
2,15,0.264712840558659
2,16,0.213157135401157
2,17,0.221680593151257
2,18,0.218118499445862
2,19,0.382804060273773
2,20,0.319241207649389
2,21,0.26260277537865
2,22,0.314306261110697
2,23,0.25949378952859
2,24,0.250738779673018
2,25,0.311380906921555
2,26,0.2729754207441
2,27,0.220609831006286
2,28,0.285047963899784
2,29,0.561038501571958
2,30,0.761453569659516
2,31,0.481137642627749
2,32,0.41832472304898
2,33,0.484832804289173
2,34,0.427136314827493
2,35,0.227982472089071
2,36,0.31790657430732
2,37,0.314515612008716
2,38,0.360163911429192
2,39,0.246492223624459
2,40,0.257477429504203
2,41,0.21986768624294
