Region1,Region2,Fisher_Correlation
1,1,Inf
1,2,0.553092801239863
1,3,1.06706658609845
1,4,1.09193124330849
1,5,0.921592816234754
1,6,1.54560886223987
1,7,1.03652805589876
1,8,1.50015181721265
1,9,1.04695185400244
1,10,1.55207472577505
1,11,1.10807339864173
1,12,1.32069409689407
1,13,0.367556623255825
1,14,0.223765295222324
1,15,0.262034355973714
1,16,0.57596058392272
1,17,0.734476724281355
1,18,0.760326136544044
1,19,0.801817008985714
1,20,0.835498548787838
1,21,0.10715473698142
1,22,0.259059725736524
1,23,0.151030471977512
1,24,0.195486328939542
1,25,0.185264011594224
1,26,0.0873127776147005
1,27,-0.0264095885229702
1,28,0.151697234956326
1,29,1.08417160718404
1,30,1.16197905344432
1,31,0.784681568466687
1,32,0.93642846109703
1,33,0.729979876892252
1,34,0.849002593617112
1,35,0.12030448214687
1,36,0.266861605914759
1,37,0.4750115523959
1,38,0.686313616091739
1,39,0.458917431018079
1,40,0.230790555396703
1,41,0.181182829857106
1,42,0.0992530211697959
1,43,-0.113269226765122
1,44,0.817626107025453
1,45,0.680979503071694
1,46,0.783385594437595
1,47,0.284868117450428
1,48,0.362431566610908
1,49,0.092348760110675
1,50,0.507915574210738
1,51,0.423274284073049
1,52,0.0536332431821529
1,53,0.429828911538902
1,54,0.237542745026348
1,55,0.437234660901825
1,56,-0.00466425686759568
1,57,0.454011812430686
1,58,0.623530546902084
1,59,0.307107216758951
1,60,0.39880964020809
1,61,0.647915633756849
1,62,-0.00138640453004439
1,63,-0.109923716792207
1,64,-0.144028460562473
1,65,0.124828452979142
1,66,0.7542831650826
1,67,0.399031441358965
1,68,0.254269121903919
1,69,0.064285379824007
1,70,0.18089249677948
1,71,0.291744011729155
1,72,1.01712342659486
1,73,0.886516971693391
1,74,1.0824936717541
1,75,0.489698403130104
1,76,0.218293419292946
1,77,0.927801288960667
1,78,0.756702248479887
1,79,0.730438635550764
1,80,0.00741086567652915
1,81,0.396713317319286
1,82,0.162006704566509
1,83,0.209852462657365
1,84,0.104873165889121
1,85,0.00257962029277107
1,86,0.127787158789615
1,87,0.393177262528903
1,88,0.345974268845332
1,89,0.427097136204771
1,90,0.613343039941287
1,91,0.534478768147502
1,92,0.250047194640841
1,93,0.484836908992577
1,94,0.0537497840269068
1,95,-0.129379210137941
1,96,0.740093224739356
1,97,1.06745062311018
1,98,0.673400011972552
1,99,0.0478427884684589
1,100,0.359217449043878
1,101,1.77230771642851
1,102,1.4450487718833
1,103,1.48180103750634
1,104,1.39917410057835
1,105,1.52502711119185
1,106,1.59648600294769
1,107,1.41731609768658
1,108,1.14783290785
1,109,1.6755571127608
1,110,1.23171852281679
1,111,1.18698063766079
1,112,1.38420951492752
1,113,0.422417468600034
1,114,0.594792008443469
1,115,0.422006802877287
1,116,0.541225704961261
1,117,1.02660530001281
1,118,0.609819379878655
1,119,1.14599069804252
1,120,0.871115112951809
1,121,1.06849936179667
1,122,0.939319596872682
1,123,1.08123962094381
1,124,0.988819918184968
1,125,0.784931854383918
1,126,0.77897890646132
1,127,0.783097600436356
1,128,1.11790334296096
1,129,0.857898127800525
1,130,0.653633451784957
1,131,1.29786831101382
1,132,1.31563003501416
1,133,1.55893324593412
1,134,1.19505089995792
1,135,1.1450183604557
1,136,1.18300173134314
1,137,0.697280792493857
1,138,0.708263199586875
1,139,1.15679716163634
1,140,1.14924005546616
1,141,0.84740414010552
1,142,0.900837097991991
1,143,0.716747143476046
1,144,0.646368310385834
1,145,0.919610819975215
1,146,0.951772433441846
1,147,0.700903317711765
1,148,0.590328318821402
1,149,0.9300905757956
1,150,0.914548940229135
1,151,0.848890530619106
1,152,0.729870411388183
1,153,0.983897038826869
1,154,0.645030065721604
1,155,0.794250437936767
1,156,0.673357997776075
1,157,0.00846692095267931
1,158,0.89731834596593
1,159,0.00953015204842242
1,160,0.669459825175871
1,161,0.496498801865239
1,162,0.793433717410627
1,163,0.386143077790474
1,164,0.612926262562543
1,165,0.726419569136511
1,166,0.72062803982379
1,167,0.844822039708582
1,168,0.683209343670876
1,169,0.777809538709426
1,170,0.853967649322102
1,171,0.898743584638344
1,172,0.879393016791426
1,173,0.795491122726245
1,174,0.851798253508428
1,175,0.826090412576447
1,176,0.894721870491522
1,177,0.847786372773299
1,178,0.940934195234119
1,179,0.908180337759501
1,180,0.684994763347469
1,181,1.29753869221112
1,182,1.05473123727179
1,183,1.02434780255881
1,184,1.23197697699324
1,185,0.628157241447303
1,186,0.928110632212375
1,187,0.256889244627814
1,188,0.778134630814267
1,189,0.815260394729279
1,190,0.836915597917236
1,191,0.796479743663102
1,192,0.665263513750382
1,193,0.753078704667134
1,194,1.17061343904806
1,195,0.942178285179657
1,196,0.790191052869997
1,197,0.8238191369801
1,198,0.998075088719529
1,199,1.03090603953863
1,200,1.18553304142971
