Region1,Region2,Median_Correlation
1,1,1
1,2,0.743476176697767
1,3,0.854353653386817
1,4,0.710064564410883
1,5,0.726650062249722
1,6,0.741150122543836
1,7,0.748830580296981
1,8,0.826330481915804
1,9,0.595013899786725
1,10,0.783088664216748
1,11,0.639834071737076
1,12,0.752350532573324
1,13,0.437180601560955
1,14,0.454809508416558
1,15,0.45104563504561
1,16,0.355419039494277
1,17,0.51082837917307
1,18,0.249156551667461
1,19,0.473749021402923
1,20,0.439219529032128
1,21,0.358736896992111
1,22,0.454230153229431
1,23,0.415352259178829
1,24,0.414418184206249
1,25,0.462857793356079
1,26,0.462001771088841
1,27,0.43203749341123
1,28,0.436822112616168
1,29,0.748465132140984
1,30,0.833535080316338
1,31,0.701571337672527
1,32,0.663192625314033
1,33,0.64744479059702
1,34,0.622658208621881
1,35,0.415721072850315
1,36,0.463125698753309
1,37,0.531270665724032
1,38,0.521840300085334
1,39,0.352294897688958
1,40,0.324501205902024
1,41,0.408610398609917
1,42,0.357764947614974
1,43,0.385019998087584
1,44,0.561609963285898
1,45,0.402443889863695
1,46,0.338152342105666
1,47,0.406967465084104
1,48,0.354611985016962
1,49,0.362456917876392
1,50,0.26869199323467
1,51,0.379532609015476
1,52,0.318133029996909
1,53,0.380475365523177
1,54,0.322973951256096
1,55,0.249167994979966
1,56,0.372182813797878
1,57,0.667463255944206
1,58,0.543520019481397
1,59,0.470467553606722
1,60,0.564918025941156
1,61,0.403239772417997
1,62,0.328043527071664
1,63,0.352223836303447
1,64,0.369343230545719
1,65,0.319963816383045
1,66,0.250142818552869
1,67,0.518422868030667
1,68,0.328288466643354
1,69,0.271895713141861
1,70,0.299926176745785
1,71,0.359101675869005
1,72,0.682178963062438
1,73,0.595654768211906
1,74,0.610803842268082
1,75,0.458445299409593
1,76,0.214890885739814
1,77,0.563306837923143
1,78,0.588858219255501
1,79,0.584754656433622
1,80,0.219134020367441
1,81,0.236146905113008
1,82,0.218261544292269
1,83,0.332717259568002
1,84,0.301238169988284
1,85,0.388687975559223
1,86,0.490305560790999
1,87,0.426964093803825
1,88,0.219443560276456
1,89,0.241300146853385
1,90,0.254916418697023
1,91,0.249173063290673
1,92,0.355942071801677
1,93,0.395730969040677
1,94,0.401870655164349
1,95,0.317816738199454
1,96,0.628544504414804
1,97,0.700376739664137
1,98,0.563786797214392
1,99,0.511531932490555
1,100,0.548212113195215
1,101,0.839494620957554
1,102,0.671002819039612
1,103,0.798475765894685
1,104,0.635125373620834
1,105,0.602065014197363
1,106,0.672395766048546
1,107,0.753932918388472
1,108,0.623292665124377
1,109,0.76997556842805
1,110,0.627368203236037
1,111,0.641742012246667
1,112,0.621055208914514
1,113,0.31453625878538
1,114,0.291637197234226
1,115,0.398619707648676
