Region1,Region2,Median_Correlation_MCI,Median_Correlation_CN
1,1,1,1
1,2,0.748817642167056,0.743476176697767
1,3,0.837555994167013,0.854353653386817
1,4,0.704567543036787,0.710064564410883
1,5,0.750131317487148,0.726650062249722
1,6,0.665657987801191,0.741150122543836
1,7,0.744684531780548,0.748830580296981
1,8,0.817449977968719,0.826330481915804
1,9,0.562354416534338,0.595013899786725
1,10,0.697230644678722,0.783088664216748
1,11,0.622474152980635,0.639834071737076
1,12,0.627457851366035,0.752350532573324
1,13,0.502034333967245,0.437180601560955
1,14,0.232906761266534,0.454809508416558
1,15,0.352055530745045,0.45104563504561
1,16,0.467860895716287,0.355419039494277
1,17,NaN,0.51082837917307
1,18,NaN,0.249156551667461
1,19,0.543824409914244,0.473749021402923
1,20,NaN,0.439219529032128
1,21,0.549862269673469,0.358736896992111
1,22,0.659655821688867,0.454230153229431
1,23,0.518403959740511,0.415352259178829
1,24,0.5852208876102,0.414418184206249
1,25,0.540577507732688,0.462857793356079
1,26,0.591736648953712,0.462001771088841
1,27,0.441514892517923,0.43203749341123
1,28,0.431917742274575,0.436822112616168
1,29,0.799585376213855,0.748465132140984
1,30,0.862393777387967,0.833535080316338
1,31,0.73663367881627,0.701571337672527
1,32,0.608467199832536,0.663192625314033
1,33,0.526000191598801,0.64744479059702
1,34,NaN,0.622658208621881
1,35,0.414309145274919,0.415721072850315
1,36,0.45563620384626,0.463125698753309
1,37,0.44783192096604,0.531270665724032
1,38,NaN,0.521840300085334
1,39,0.501371573166077,0.352294897688958
1,40,0.537515299562261,0.324501205902024
1,41,0.345953566051446,0.408610398609917
1,42,0.441315268386611,0.357764947614974
1,43,0.524663770308123,0.385019998087584
1,44,0.52353460081275,0.561609963285898
1,45,0.490158251569705,0.402443889863695
1,46,0.452711230215508,0.338152342105666
1,47,0.485519982334583,0.406967465084104
1,48,0.363944669863042,0.354611985016962
1,49,0.450131160050084,0.362456917876392
1,50,0.326589276393721,0.26869199323467
1,51,0.441528666646147,0.379532609015476
1,52,0.272214444133116,0.318133029996909
1,53,0.355503504992113,0.380475365523177
1,54,0.27571976648048,0.322973951256096
1,55,0.36279735778352,0.249167994979966
1,56,0.239451758630925,0.372182813797878
1,57,0.698942151361123,0.667463255944206
1,58,0.547475345248121,0.543520019481397
1,59,0.507595751305437,0.470467553606722
1,60,0.540713116519391,0.564918025941156
1,61,0.372137808665051,0.403239772417997
1,62,0.491028942193879,0.328043527071664
1,63,0.399400385496676,0.352223836303447
1,64,0.429723305336606,0.369343230545719
1,65,0.453737796928034,0.319963816383045
1,66,0.237658818227478,0.250142818552869
1,67,0.505546019886339,0.518422868030667
1,68,0.413922081357823,0.328288466643354
1,69,0.317828637986081,0.271895713141861
1,70,0.510699247152237,0.299926176745785
1,71,0.381902376053674,0.359101675869005
1,72,0.574379550149183,0.682178963062438
1,73,0.566922229980904,0.595654768211906
1,74,0.527882307869017,0.610803842268082
1,75,0.398230482481171,0.458445299409593
1,76,0.315013447811465,0.214890885739814
1,77,0.57317236061179,0.563306837923143
